总经理助理,广西朗高医疗科技有限公司,10001,南宁市,2022-02-23
副总经理,方正证券股份有限公司南宁衡阳西路证券营业部,10001,玉林市,2022-02-23
副总经理,方正证券股份有限公司南宁衡阳西路证券营业部,10001,河池市,2022-02-23
总经理,南宁威凯智慧物业服务有限公司,30001,良庆区,2022-02-23
副总经理,福建联审工程管理咨询有限公司广西分公司,10001,西乡塘区,2022-02-23
副总经理,福建联审工程管理咨询有限公司广西分公司,10001,西乡塘区,2022-02-23
副总经理,广西振凯科技有限公司,10001,南宁市,2022-02-23
副总经理,福建联审工程管理咨询有限公司广西分公司,10001,西乡塘区,2022-02-23
副总经理,广西振凯科技有限公司,10001,南宁市,2022-02-23
招聘经理,南宁珀源能源材料有限公司,10001,良庆区,2022-02-23
人力资源部副主任,广西北海精一电力器材有限责任公司,20001,良庆区,2022-02-23
人力资源部副主任,广西北海精一电力器材有限责任公司,20001,良庆区,2022-02-23
梧州分公司合伙人,广西百隆工程咨询有限公司,10001,梧州市,2022-02-23
人力资源部副主任,广西北海精一电力器材有限责任公司,20001,良庆区,2022-02-23
梧州分公司合伙人,广西百隆工程咨询有限公司,10001,梧州市,2022-02-23
百色分公司合伙人,广西百隆工程咨询有限公司,10001,百色市,2022-02-23
行政总监,迅奥电梯集团有限公司,10001,南宁市,2022-02-23
行政总监,迅奥电梯集团有限公司,10001,南宁市,2022-02-23
政府事务经理,金融开放门户（广西）跨境金融数字有限公司,10001,良庆区,2022-02-23
招商运营总经理,广西壹洲同商业管理有限公司,15001,青秀区,2022-02-23
招商运营总经理,广西壹洲同商业管理有限公司,15001,青秀区,2022-02-23
董事长助理,广西鑫坚投资集团有限公司,10001,青秀区,2022-02-23
招商运营总经理,广西壹洲同商业管理有限公司,15001,青秀区,2022-02-23
董事长助理,广西鑫坚投资集团有限公司,10001,青秀区,2022-02-23
总经理,广西鑫坚投资集团有限公司,20001,青秀区,2022-02-23
招商运营总经理,广西壹洲同商业管理有限公司,15001,青秀区,2022-02-23
董事长助理,广西鑫坚投资集团有限公司,10001,青秀区,2022-02-23
总经理,广西鑫坚投资集团有限公司,20001,青秀区,2022-02-23
营销策划总监,广西光合物联科技有限责任公司,15001,良庆区,2022-02-23
招商运营总经理,广西壹洲同商业管理有限公司,15001,青秀区,2022-02-23
董事长助理,广西鑫坚投资集团有限公司,10001,青秀区,2022-02-23
总经理,广西鑫坚投资集团有限公司,20001,青秀区,2022-02-23
营销策划总监,广西光合物联科技有限责任公司,15001,良庆区,2022-02-23
金融部副总,广西油易通数字科技集团有限公司,10001,良庆区,2022-02-23
招商运营总经理,广西壹洲同商业管理有限公司,15001,青秀区,2022-02-23
董事长助理,广西鑫坚投资集团有限公司,10001,青秀区,2022-02-23
总经理,广西鑫坚投资集团有限公司,20001,青秀区,2022-02-23
营销策划总监,广西光合物联科技有限责任公司,15001,良庆区,2022-02-23
金融部副总,广西油易通数字科技集团有限公司,10001,良庆区,2022-02-23
总经理,福建联审工程管理咨询有限公司广西分公司,15001,西乡塘区,2022-02-23
分公司经理,广西航天信息技术有限公司,10001,青秀区,2022-02-23
分公司经理,广西航天信息技术有限公司,10001,青秀区,2022-02-23
店面运营总监（东鹏洁具店面）,南宁市升钻商贸有限责任公司,15001,兴宁区,2022-02-23
工业设计院总经理,南宁昌泰置业投资有限公司,20001,青秀区,2022-02-23
工业设计院总经理,南宁昌泰置业投资有限公司,20001,青秀区,2022-02-23
集团人事行政经理,广西广缘汽车有限公司,15001,西乡塘区,2022-02-23
工业设计院总经理,南宁昌泰置业投资有限公司,20001,青秀区,2022-02-23
集团人事行政经理,广西广缘汽车有限公司,15001,西乡塘区,2022-02-23
网站运营总监,广西潮志信息科技有限公司,10001,南宁市,2022-02-23
区域运营总监,广西福之凯家居有限责任公司,15001,南宁市,2022-02-23
区域运营总监,广西福之凯家居有限责任公司,15001,南宁市,2022-02-23
总经理,广西光合物联科技有限责任公司,20001,良庆区,2022-02-23
研发总监,广西南宁灵康赛诺科生物科技有限公司,10001,西乡塘区,2022-02-23
餐饮门店总经理,广西好友缘餐饮投资有限公司,20001,南宁市,2022-02-23
人力资源总监,北海银基投资有限公司,15001,海城区,2022-02-23
人力资源总监,北海银基投资有限公司,15001,海城区,2022-02-23
乐园人力资源经理,北海银基投资有限公司,10001,海城区,2022-02-23
副总经理,广西昌弘制药有限公司,10001,南宁市,2022-02-23
副总经理,广西昌弘制药有限公司,10001,南宁市,2022-02-23
房地产总经理,广西昌弘制药有限公司,10001,南宁市,2022-02-23
投资发展部部长/副部长,广西业茂建设集团股份有限公司,15001,南宁市,2022-02-23
政工部部长/副部长,广西业茂建设集团股份有限公司,10001,南宁市,2022-02-23
政工部部长/副部长,广西业茂建设集团股份有限公司,10001,南宁市,2022-02-23
奔驰4S店总经理,南宁恒信之星汽车销售服务有限公司,30001,西乡塘区,2022-02-23
园区运营总监,南宁市龙光生鲜食品科技有限公司,10001,江南区,2022-02-23
园区运营总监,南宁市龙光生鲜食品科技有限公司,10001,江南区,2022-02-23
营运经理,柳州市锦曼商贸有限公司,10001,柳州市,2022-02-23
园区运营总监,南宁市龙光生鲜食品科技有限公司,10001,江南区,2022-02-23
营运经理,柳州市锦曼商贸有限公司,10001,柳州市,2022-02-23
人力资源经理,柳州市锦曼商贸有限公司,10001,柳南区,2022-02-23
园区运营总监,南宁市龙光生鲜食品科技有限公司,10001,江南区,2022-02-23
营运经理,柳州市锦曼商贸有限公司,10001,柳州市,2022-02-23
人力资源经理,柳州市锦曼商贸有限公司,10001,柳南区,2022-02-23
运营管理部负责人,招商局物业管理有限公司南宁分公司,10001,青秀区,2022-02-23
园区运营总监,南宁市龙光生鲜食品科技有限公司,10001,江南区,2022-02-23
营运经理,柳州市锦曼商贸有限公司,10001,柳州市,2022-02-23
人力资源经理,柳州市锦曼商贸有限公司,10001,柳南区,2022-02-23
运营管理部负责人,招商局物业管理有限公司南宁分公司,10001,青秀区,2022-02-23
副总经理,广西医大睿谷医学检验有限公司,30001,青秀区,2022-02-23
人力资源部经理/副经理,广西金源置地投资有限公司,15001,青秀区,2022-02-23
人力资源部经理/副经理,广西金源置地投资有限公司,15001,青秀区,2022-02-23
交付部总经理,新三科技有限公司,10001,良庆区,2022-02-23
人力资源部经理/副经理,广西金源置地投资有限公司,15001,青秀区,2022-02-23
交付部总经理,新三科技有限公司,10001,良庆区,2022-02-23
交付部副总经理,新三科技有限公司,10001,良庆区,2022-02-23
人力资源部经理/副经理,广西金源置地投资有限公司,15001,青秀区,2022-02-23
交付部总经理,新三科技有限公司,10001,良庆区,2022-02-23
交付部副总经理,新三科技有限公司,10001,良庆区,2022-02-23
总裁助理,新三科技有限公司,30001,广西壮族自治区,2022-02-23
人力资源部经理/副经理,广西金源置地投资有限公司,15001,青秀区,2022-02-23
交付部总经理,新三科技有限公司,10001,良庆区,2022-02-23
交付部副总经理,新三科技有限公司,10001,良庆区,2022-02-23
总裁助理,新三科技有限公司,30001,广西壮族自治区,2022-02-23
酒业运营副总,广西远宁实业集团有限公司,10001,兴宁区,2022-02-23
计划运营经理,广西人和投资有限公司,10001,广西壮族自治区,2022-02-23
教育培训部副总经理,广西数字奇安技术服务有限公司,10001,良庆区,2022-02-23
教育培训部副总经理,广西数字奇安技术服务有限公司,10001,良庆区,2022-02-23
教育培训部总经理,广西数字奇安技术服务有限公司,15001,良庆区,2022-02-23
教育培训部副总经理,广西数字奇安技术服务有限公司,10001,良庆区,2022-02-23
教育培训部总经理,广西数字奇安技术服务有限公司,15001,良庆区,2022-02-23
教育培训部高级业务经理,广西数字奇安技术服务有限公司,10001,良庆区,2022-02-23
教育培训部副总经理,广西数字奇安技术服务有限公司,10001,良庆区,2022-02-23
教育培训部总经理,广西数字奇安技术服务有限公司,15001,良庆区,2022-02-23
教育培训部高级业务经理,广西数字奇安技术服务有限公司,10001,良庆区,2022-02-23
行业市场部总经理,广西数字奇安技术服务有限公司,30001,良庆区,2022-02-23
教育培训部副总经理,广西数字奇安技术服务有限公司,10001,良庆区,2022-02-23
教育培训部总经理,广西数字奇安技术服务有限公司,15001,良庆区,2022-02-23
教育培训部高级业务经理,广西数字奇安技术服务有限公司,10001,良庆区,2022-02-23
行业市场部总经理,广西数字奇安技术服务有限公司,30001,良庆区,2022-02-23
公司总经理助理,广西数字奇安技术服务有限公司,30001,良庆区,2022-02-23
市场总监,广西壹涧文化传媒有限公司,10001,青秀区,2022-02-23
行政人事副总经理,广西清威实业有限公司,10001,梧州市,2022-02-23
人力资源总监,广西联怡科技有限责任公司,10001,江南区,2022-02-23
人力资源总监,广西联怡科技有限责任公司,10001,江南区,2022-02-23
运营副总,广西菲达建筑景观工程有限公司,15001,广西壮族自治区,2022-02-23
人力资源总监,广西联怡科技有限责任公司,10001,江南区,2022-02-23
运营副总,广西菲达建筑景观工程有限公司,15001,广西壮族自治区,2022-02-23
招聘经理（高级人才招聘）,锐仕方达（北京）人力资源顾问有限公司南宁分公司,15001,南宁市,2022-02-23
物业副总经理,广东龙光集团物业管理有限公司南宁分公司,30001,江南区,2022-02-23
计划运营高级经理,中铁房地产集团（广西）有限公司,20001,南宁市,2022-02-23
计划运营高级经理,中铁房地产集团（广西）有限公司,20001,南宁市,2022-02-23
项目营销总监,中铁房地产集团（广西）有限公司,20001,南宁市,2022-02-23
计划运营高级经理,中铁房地产集团（广西）有限公司,20001,南宁市,2022-02-23
项目营销总监,中铁房地产集团（广西）有限公司,20001,南宁市,2022-02-23
副总经理,广西金溢检测技术有限公司,20001,南宁市,2022-02-23
招商营运总监,广西东方正元集团有限公司,15001,南宁市,2022-02-23
项目营销总监,中铁房地产集团（广西）有限公司,20001,南宁市,2022-02-23
项目营销总监,中铁房地产集团（广西）有限公司,20001,南宁市,2022-02-23
副总经理,广西金溢检测技术有限公司,20001,南宁市,2022-02-23
运营总监,广西新巴拉汇典贸易有限公司,10001,南宁市,2022-02-23
发展经营部主任,广西北部湾国建投资集团有限公司,10001,南宁市,2022-02-23
项目运营总监,广西元极广告有限公司,10001,南宁市,2022-02-23
项目运营总监,广西元极广告有限公司,10001,南宁市,2022-02-23
总经理（柳州宝马店）,南宁宝诚汽车服务有限公司,20001,柳州新区,2022-02-23
项目运营总监,广西元极广告有限公司,10001,南宁市,2022-02-23
总经理（柳州宝马店）,南宁宝诚汽车服务有限公司,20001,柳州新区,2022-02-23
人力行政总监,广西阿泰信息科技有限公司,10001,西乡塘区,2022-02-23
项目运营总监,广西元极广告有限公司,10001,南宁市,2022-02-23
总经理（柳州宝马店）,南宁宝诚汽车服务有限公司,20001,柳州新区,2022-02-23
人力行政总监,广西阿泰信息科技有限公司,10001,西乡塘区,2022-02-23
用户运营总监,广西阿泰信息科技有限公司,15001,西乡塘区,2022-02-23
建筑行业营销经理,中建四局贵州投资建设有限公司,10001,南宁市,2022-02-23
城市经理（宾阳）,广西巨天科技有限公司,10001,宾阳县,2022-02-23
人事行政经理,梧州高旺万达商业管理有限公司,10001,长洲区,2022-02-23
运营经理,广西有念花开餐饮投资有限公司,10001,青秀区,2022-02-23
运营经理,广西有念花开餐饮投资有限公司,10001,青秀区,2022-02-23
成本招标中心总经理/副总经理,广西金源置地投资有限公司,20001,青秀区,2022-02-23
运营经理,广西有念花开餐饮投资有限公司,10001,青秀区,2022-02-23
成本招标中心总经理/副总经理,广西金源置地投资有限公司,20001,青秀区,2022-02-23
副总经理（广告部）,广西精通房地产开发有限公司,15001,青秀区,2022-02-23
建筑合伙人,广西中聿博成工程设计有限公司,10001,青秀区,2022-02-23
建筑合伙人,广西中聿博成工程设计有限公司,10001,青秀区,2022-02-23
赣州智慧物流园总经理,深圳市前海毅德商业管理有限公司玉林分公司,20001,赣州,2022-02-23
营销副总经理,广西开源置业有限责任公司,15001,南宁市,2022-02-23
营销副总经理,广西开源置业有限责任公司,15001,南宁市,2022-02-23
人事行政部经理,宾阳通威饲料有限公司,10001,阳江,2022-02-23
营销副总经理,广西开源置业有限责任公司,15001,南宁市,2022-02-23
人事行政部经理,宾阳通威饲料有限公司,10001,阳江,2022-02-23
营销经理,广西顶豪臻品全案设计装饰有限公司,50000,良庆区,2022-02-23
营销副总经理,广西开源置业有限责任公司,15001,南宁市,2022-02-23
人事行政部经理,宾阳通威饲料有限公司,10001,阳江,2022-02-23
营销经理,广西顶豪臻品全案设计装饰有限公司,50000,良庆区,2022-02-23
营销副总,广西百盛源农业科技有限公司,15001,南宁市,2022-02-23
营销副总经理,广西开源置业有限责任公司,15001,南宁市,2022-02-23
人事行政部经理,宾阳通威饲料有限公司,10001,阳江,2022-02-23
营销经理,广西顶豪臻品全案设计装饰有限公司,50000,良庆区,2022-02-23
营销副总,广西百盛源农业科技有限公司,15001,南宁市,2022-02-23
董事会办公室主任,广西开源置业有限责任公司,10001,南宁市,2022-02-23
广西区域内储备总经理,广西宙明信息科技有限公司,15001,西乡塘区,2022-02-23
广西区域内储备总经理,广西宙明信息科技有限公司,15001,西乡塘区,2022-02-23
人事行政经理,日昌升集团有限公司,10001,兴宾区,2022-02-23
运营兼施工板块负责人,广西宝塔投资集团有限公司,20001,西乡塘区,2022-02-23
运营兼施工板块负责人,广西宝塔投资集团有限公司,20001,西乡塘区,2022-02-23
资产与产业副总经理,广西宝塔投资集团有限公司,30001,西乡塘区,2022-02-23
运营兼施工板块负责人,广西宝塔投资集团有限公司,20001,西乡塘区,2022-02-23
资产与产业副总经理,广西宝塔投资集团有限公司,30001,西乡塘区,2022-02-23
城市更新副总经理,广西宝塔投资集团有限公司,15001,西乡塘区,2022-02-23
运营兼施工板块负责人,广西宝塔投资集团有限公司,20001,西乡塘区,2022-02-23
资产与产业副总经理,广西宝塔投资集团有限公司,30001,西乡塘区,2022-02-23
城市更新副总经理,广西宝塔投资集团有限公司,15001,西乡塘区,2022-02-23
副总经理,东融控股集团有限公司,20001,青秀区,2022-02-23
运营兼施工板块负责人,广西宝塔投资集团有限公司,20001,西乡塘区,2022-02-23
资产与产业副总经理,广西宝塔投资集团有限公司,30001,西乡塘区,2022-02-23
城市更新副总经理,广西宝塔投资集团有限公司,15001,西乡塘区,2022-02-23
副总经理,东融控股集团有限公司,20001,青秀区,2022-02-23
电信事业部总经理,广西飞熊科技有限公司,10001,鱼峰区,2022-02-23
运营兼施工板块负责人,广西宝塔投资集团有限公司,20001,西乡塘区,2022-02-23
资产与产业副总经理,广西宝塔投资集团有限公司,30001,西乡塘区,2022-02-23
城市更新副总经理,广西宝塔投资集团有限公司,15001,西乡塘区,2022-02-23
副总经理,东融控股集团有限公司,20001,青秀区,2022-02-23
电信事业部总经理,广西飞熊科技有限公司,10001,鱼峰区,2022-02-23
营运经理,贵港吾悦商业管理有限公司,10001,港北区,2022-02-23
房地产副总经理,广西中云实业集团有限公司,20001,西林县,2022-02-23
房地产副总经理,广西中云实业集团有限公司,20001,西林县,2022-02-23
房地产项目经理,广西中云实业集团有限公司,20001,青秀区,2022-02-23
房地产副总经理,广西中云实业集团有限公司,20001,西林县,2022-02-23
房地产项目经理,广西中云实业集团有限公司,20001,青秀区,2022-02-23
计划运营副经理/经理（工程管理方向）,广西荣和企业集团有限责任公司,10001,南宁市,2022-02-23
人力资源总监,广西恒创爱家科技集团有限公司,10001,青秀区,2022-02-23
人力资源总监,广西恒创爱家科技集团有限公司,10001,青秀区,2022-02-23
总经理,广西立创投资集团有限公司,15001,玉林市,2022-02-23
人力资源总监,广西恒创爱家科技集团有限公司,10001,青秀区,2022-02-23
总经理,广西立创投资集团有限公司,15001,玉林市,2022-02-23
人力资源经理,广西百乐居物业服务有限公司,10001,青秀区,2022-02-23
总经理助理,广西军中石化有限公司,15001,邕宁区,2022-02-23
总经理助理,广西军中石化有限公司,15001,邕宁区,2022-02-23
营销经理,广州蓝图地理信息技术有限公司广西分公司,10001,西乡塘区,2022-02-23
研发副总监,广西南宁科冠医药科技开发有限公司,15001,南宁市,2022-02-23
人力资源部总经理,北海银河生物产业投资股份有限公司,15001,北海市,2022-02-23
区域合作伙伴,广西老账人税务咨询有限公司,15001,青秀区,2022-02-23
区域合作伙伴,广西老账人税务咨询有限公司,15001,青秀区,2022-02-23
董事会秘书,北海银河生物产业投资股份有限公司,15001,北海市,2022-02-23
区域合作伙伴,广西老账人税务咨询有限公司,15001,青秀区,2022-02-23
董事会秘书,北海银河生物产业投资股份有限公司,15001,北海市,2022-02-23
生产副总经理,广西速博建筑工程有限公司,15001,兴宁区,2022-02-23
区域合作伙伴,广西老账人税务咨询有限公司,15001,青秀区,2022-02-23
董事会秘书,北海银河生物产业投资股份有限公司,15001,北海市,2022-02-23
生产副总经理,广西速博建筑工程有限公司,15001,兴宁区,2022-02-23
总经理,广西龚州建筑工程有限公司,50000,平南县,2022-02-23
